server,spec_id,bucket_timestamp,bucket_str,rmb_per_wan,trading_volume,fetched_at
三清山,324996,1786622400000,2026-08-13 20,5.769,3047,2026-08-14T12:57:51.217Z
三清山,324996,1786626000000,2026-08-13 21,5.706,2826,2026-08-14T12:57:51.217Z
三清山,324996,1786629600000,2026-08-13 22,5.716,5083,2026-08-14T14:18:33.217Z
三清山,324996,1786633200000,2026-08-13 23,5.717,1633,2026-08-14T15:58:13.444Z
三清山,324996,1786636800000,2026-08-14 00,5.699,1563,2026-08-14T15:58:13.444Z
三清山,324996,1786640400000,2026-08-14 01,5.708,2223,2026-08-14T17:57:19.000Z
三清山,324996,1786644000000,2026-08-14 02,5.653,338,2026-08-14T17:57:19.000Z
三清山,324996,1786647600000,2026-08-14 03,5.686,739,2026-08-14T19:52:14.355Z
三清山,324996,1786651200000,2026-08-14 04,5.701,333,2026-08-14T20:37:22.065Z
三清山,324996,1786654800000,2026-08-14 05,5.612,388,2026-08-14T21:32:12.396Z
三清山,324996,1786658400000,2026-08-14 06,5.776,834,2026-08-14T22:30:54.403Z
三清山,324996,1786662000000,2026-08-14 07,5.683,260,2026-08-14T22:30:54.403Z
三清山,324996,1786665600000,2026-08-14 08,5.764,600,2026-08-14T22:30:54.403Z
三清山,324996,1786669200000,2026-08-14 09,5.727,1548,2026-08-14T22:30:54.403Z
三清山,324996,1786672800000,2026-08-14 10,5.653,659,2026-08-14T22:30:54.403Z
三清山,324996,1786676400000,2026-08-14 11,5.625,878,2026-08-15T03:46:22.767Z
三清山,324996,1786680000000,2026-08-14 12,5.538,3301,2026-08-15T03:46:22.767Z
三清山,324996,1786683600000,2026-08-14 13,5.456,4125,2026-08-15T05:31:46.542Z
三清山,324996,1786687200000,2026-08-14 14,5.464,686,2026-08-15T06:50:12.456Z
三清山,324996,1786690800000,2026-08-14 15,5.548,540,2026-08-15T06:50:12.456Z
三清山,324996,1786694400000,2026-08-14 16,5.588,2022,2026-08-15T08:37:14.218Z
